project_id,date,percent_complete
P001,2023-01-22,0.0
P001,2023-02-17,2.97
P001,2023-03-15,6.33
P001,2023-04-11,9.2
P001,2023-05-20,12.06
P001,2023-06-10,14.93
P001,2023-07-19,17.69
P001,2023-08-21,20.56
P001,2023-09-18,23.82
P001,2023-10-11,26.49
P001,2023-11-22,29.66
P001,2023-12-15,32.72
P001,2024-01-20,35.99
P001,2024-02-22,38.75
P001,2024-03-21,42.12
P001,2024-04-15,45.48
P001,2024-05-18,48.55
P001,2024-06-21,51.81
P001,2024-07-17,54.28
P001,2024-08-11,56.84
P001,2024-09-16,59.51
P001,2024-10-18,62.48
P001,2024-11-18,65.64
P001,2024-12-20,68.31
P001,2025-01-12,70.77
P001,2025-02-12,73.14
P001,2025-03-12,76.0
P001,2025-04-15,79.07
P002,2023-03-22,0.0
P002,2023-04-18,2.82
P002,2023-05-18,5.44
P002,2023-06-18,7.87
P002,2023-07-10,10.89
P002,2023-08-11,13.81
P002,2023-09-17,16.23
P002,2023-10-18,18.76
P002,2023-11-16,20.88
P002,2023-12-20,23.3
P002,2024-01-21,25.42
P002,2024-02-12,28.04
P002,2024-03-17,30.57
P002,2024-04-16,32.69
P002,2024-05-13,35.01
P002,2024-06-11,37.73
P002,2024-07-20,40.76
P002,2024-08-10,43.18
P002,2024-09-17,46.2
P002,2024-10-13,48.62
P002,2024-11-20,51.64
P002,2024-12-13,53.87
P002,2025-01-14,56.99
P002,2025-02-10,59.61
P002,2025-03-17,62.73
P002,2025-04-11,65.76
P003,2023-02-11,0.0
P003,2023-03-22,0.89
P003,2023-04-15,1.88
P003,2023-05-10,3.07
P003,2023-06-16,4.56
P003,2023-07-15,5.85
P003,2023-08-10,7.44
P003,2023-09-19,8.32
P003,2023-10-20,9.41
P003,2023-11-16,10.8
P003,2023-12-19,11.69
P003,2024-01-16,13.18
P003,2024-02-19,14.37
P003,2024-03-10,15.66
P003,2024-04-14,16.35
P003,2024-05-22,17.54
P003,2024-06-19,19.03
P003,2024-07-12,20.62
P003,2024-08-18,21.51
P003,2024-09-13,22.5
P003,2024-10-17,23.29
P003,2024-11-18,23.97
P003,2024-12-16,25.16
P003,2025-01-19,26.65
P003,2025-02-19,27.84
P003,2025-03-13,28.43
P003,2025-04-16,29.62
P004,2023-04-10,0.0
P004,2023-05-18,1.72
P004,2023-06-10,4.05
P004,2023-07-22,6.07
P004,2023-08-17,8.09
P004,2023-09-13,10.72
P004,2023-10-17,13.04
P004,2023-11-22,15.06
P004,2023-12-21,16.68
P004,2024-01-11,19.31
P004,2024-02-18,21.13
P004,2024-03-14,22.85
P004,2024-04-18,25.18
P004,2024-05-13,26.8
P004,2024-06-13,29.42
P004,2024-07-19,31.15
P004,2024-08-10,32.97
P004,2024-09-10,34.59
P004,2024-10-17,36.52
P004,2024-11-15,38.24
P004,2024-12-12,39.86
P004,2025-01-21,41.98
P004,2025-02-22,43.71
P004,2025-03-18,46.03
P004,2025-04-20,48.35
P005,2023-05-10,0.0
P005,2023-06-15,2.05
P005,2023-07-18,4.8
P005,2023-08-17,7.36
P005,2023-09-14,9.51
P005,2023-10-12,11.56
P005,2023-11-20,13.71
P005,2023-12-14,15.66
P005,2024-01-10,18.22
P005,2024-02-22,21.17
P005,2024-03-15,23.82
P005,2024-04-19,26.37
P005,2024-05-10,28.92
P005,2024-06-13,31.78
P005,2024-07-13,34.33
P005,2024-08-18,37.28
P005,2024-09-15,39.83
P005,2024-10-18,42.78
P005,2024-11-16,45.24
P005,2024-12-16,47.39
P005,2025-01-10,49.94
P005,2025-02-22,52.79
P005,2025-03-15,54.74
P005,2025-04-12,57.2
